Date, GLD Close, LBMA Gold Price, NAV per GLD in Gold, NAV/share at 10.30 a.m. NYT, Indicative Price of GLD at 4.15 p.m. NYT, Mid point of bid/ask spread at 4.15 p.m. NYT#, Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT, Daily Share Volume, Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT, Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT, Total Net Asset Value in the Trust
2004-11-18,44.38,442.00,100.00,44.20,44.31,44.37,0.15%,5992000.00,260000.00,8.09,114920000.00
2004-11-19,44.78,445.60,100.00,44.56,44.69,44.78,0.19%,11655000.00,1859994.06,57.85,828806907.20
2004-11-22,44.75,447.80,100.00,44.78,44.90,44.95,0.11%,11976800.00,2799952.98,87.09,1253785205.50
2004-11-23,45.05,448.15,99.99,44.81,44.81,44.74,-0.16%,3139000.00,2799952.98,87.09,1254751438.19
2004-11-24,45.05,448.60,99.99,44.86,44.95,45.00,0.10%,6052700.00,3099933.30,96.42,1390568824.08
2004-11-25, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
2004-11-26,45.40,451.00,99.99,45.10,45.19,45.28,0.20%,3058200.00,3229921.97,100.46,1456602906.16
2004-11-29,45.12,451.25,99.99,45.12,45.35,45.39,0.09%,3758800.00,3329909.96,103.57,1502482070.50
2004-11-30,45.38,453.40,99.99,45.33,45.14,45.11,-0.06%,3859100.00,3329909.96,103.57,1509624832.88
2004-12-01,44.95,452.85,99.99,45.28,45.37,45.39,0.05%,3857500.00,3329909.96,103.57,1507776858.64
2004-12-02,45.60,454.20,99.98,45.41,44.95,44.97,0.04%,6457800.00,3329699.18,103.56,1512255390.24
2004-12-03,45.17,448.65,99.98,44.86,45.63,45.60,-0.07%,4192300.00,3329699.18,103.56,1493759189.63
2004-12-06,45.11,453.05,99.98,45.30,45.20,45.18,-0.05%,3102400.00,3329699.18,103.56,1508360596.14
2004-12-07,44.01,451.80,99.98,45.17,45.08,45.09,0.03%,3797300.00,2829802.88,88.02,1278328839.45
2004-12-08,43.78,436.90,99.98,43.68,44.01,44.03,0.05%,6113700.00,2929780.58,91.13,1279831486.60
